row_index,product_code,location_code,date_token,time_token,qty_token_raw
70,0226,03,20251107,1106,?l@35
71,0270,01,20251108,0245,?c@06
72,0279,01,20251108,0052,?c@12
73,0289,01,20251109,1060,?H@06
74,0345,01,20251110,1128,?X@06
75,0344,01,20251110,1128,?X@06
76,0350,01,20251110,1129,^@01
77,0351,01,20251110,1128,?X@06
78,0377,01,20251112,1081,?H@48
79,0382,01,20251112,1126,?_@14
80,0387,01,20251112,1060,?H@06
81,0396,01,20251112,1117,@r@48
82,0441,01,20251113,1117,@r@27
83,0441,02,20251113,1117,@r@27
84,0441,03,20251113,1117,@r@27
85,0441,04,20251113,0023,?c@27
86,0445,01,20251113,0099,?j@35
87,0480,01,20251114,1126,?o@14
88,0495,01,20251114,1084,?K@48
89,0501,01,20251114,1127,?X@35
90,0505,01,20251115,1126,?o@41
91,0531,01,20251115,1049,?H@14
92,0532,01,20251115,1061,?M@14
93,0540,01,20251115,0052,?c@31
94,0547,01,20251115,1058,?M@41
95,0547,02,20251115,1060,?H@41
96,0561,01,20251116,1061,?M@41
97,0567,01,20251116,0014,?c@12
98,0609,01,20251117,1110,$@87
99,0611,01,20251117,1083,?K@30
100,0618,01,20251117,1040,o@48
101,0651,01,20251118,1129,^@14
102,0653,01,20251118,1060,?H@06
103,0656,01,20251118,1128,?X@21
104,0661,01,20251118,1055,?M@12
105,0669,01,20251118,1127,?X@21
106,0718,01,20251119,1083,?K@48
107,0726,01,20251119,1129,^@14
108,0819,01,20251122,1050,@Q@06
109,0819,02,20251122,1056,@Q@06
110,0864,01,20251123,0013,?c@21
111,0885,01,20251124,1060,?H@06
112,0910,01,20251124,0248,?r@12
113,0911,01,20251124,1064,?K@48
114,0920,01,20251124,0248,?r@06
115,0975,01,20251126,1051,@Q@06
116,0982,01,20251126,1063,?H@16
117,0991,01,20251126,0023,?c@21
118,1035,01,20251127,0300,?\@01
119,1059,01,20251128,1036,?c@21
120,1059,02,20251128,0014,?c@21
121,1126,01,20251130,1112,?l@12
122,1144,01,20251130,1113,?l@41
123,0002,01,20251201,1126,?o@91
124,0003,01,20251201,0508,@98
125,0030,01,20251201,0300,?\@12
126,0041,01,20251201,1048,?H@31
127,0041,02,20251201,1050,@Q@31
128,0075,01,20251202,1114,?l@12
129,0076,01,20251202,0398,?[@16
130,0086,01,20251202,0248,?r@12
131,0087,01,20251202,0909,?f@06
132,0088,01,20251202,0300,?\@01
133,0112,01,20251203,0023,?c@12
134,0137,01,20251203,1128,?X@21
135,0175,01,20251204,0508,@98
136,0176,01,20251204,1051,@Q@06
137,0177,01,20251204,0052,?c@12
138,0182,01,20251204,1055,?M@48
139,0213,01,20251205,1050,@Q@31
140,0213,02,20251205,1048,?H@31
141,0214,01,20251205,1118,??@14
142,0232,01,20251205,1129,^@91
143,0241,01,20251205,1127,?X@21
144,0250,01,20251205,0984,?j@12
145,0251,01,20251205,1056,@Q@01
146,0291,01,20251206,1057,?H@41
147,0291,02,20251206,1058,?M@41
148,0292,01,20251206,1126,?o@06
149,0293,01,20251206,1084,?K@01
150,0294,01,20251206,1082,?H@21
151,0295,01,20251206,1128,?X@06
152,0296,01,20251206,0248,?r@06
153,0319,01,20251207,0300,?\@01
154,0356,01,20251208,1060,?H@31
155,0366,01,20251208,1110,$@87
156,0369,01,20251208,1111,$@87
157,0410,01,20251209,1082,?H@30
158,0419,01,20251209,0156,?^@12
159,0440,01,20251210,1060,?H@06
160,0469,01,20251210,1128,?X@06
161,0470,01,20251210,1064,?K@35
162,0471,01,20251210,0248,?r@06
163,0472,01,20251210,0156,?^@35
164,0473,01,20251210,1109,$@86
165,0488,01,20251211,1106,?l@12
166,0506,01,20251211,1048,?H@31
167,0507,01,20251211,0507,$@98
168,0508,01,20251211,0300,?\@01
169,0553,01,20251212,1055,?M@48
170,0554,01,20251212,0508,@98
171,0571,01,20251212,1035,?c@06
172,0572,01,20251212,0248,?r@06
173,0617,01,20251213,1109,$@86
174,0625,01,20251213,1128,?X@12
175,0665,01,20251214,1057,?H@41
176,0697,01,20251215,0023,?c@01
177,0764,01,20251216,1060,?H@21
178,0764,02,20251216,1061,?M@21
179,0764,03,20251216,0508,@21
180,0767,01,20251216,1054,?H@31
181,0768,01,20251216,0032,n@06
182,0781,01,20251216,0300,?\@01
183,0786,01,20251216,1064,?K@12
184,0796,01,20251216,0981,?c@06
185,0847,01,20251217,1048,?H@31
186,0847,02,20251217,1049,?H@31
187,0848,01,20251217,0032,n@31
188,0853,01,20251217,1060,?H@27
189,0872,01,20251217,1057,?H@48
190,0872,02,20251217,1058,?M@48
191,0882,01,20251218,0245,?c@12
192,0883,01,20251218,1060,?H@06
193,0888,01,20251218,1128,?X@12
194,0892,01,20251218,1054,?H@48
195,0892,02,20251218,1055,?M@48
196,0925,01,20251218,1128,?X@06
197,0926,01,20251218,0508,@98
198,0927,01,20251218,0508,@98
199,1013,01,20251219,1048,?H@06
200,1014,01,20251219,1040,o@12
201,1015,01,20251219,0507,$@98
202,1016,01,20251219,0014,?c@12
203,1017,01,20251219,1060,?H@06
204,1018,01,20251219,1049,?H@12
205,1019,01,20251219,0245,?c@12
206,1020,01,20251219,0034,?c@12
207,1021,01,20251219,1083,?K@16
208,1022,01,20251219,1057,?H@48
209,1022,02,20251219,1058,?M@48
210,1023,01,20251219,1129,^@91
211,1091,01,20251220,1128,?X@12
212,1092,01,20251220,1082,?H@30
213,1093,01,20251220,0156,?^@12
214,1094,01,20251220,0508,@98
215,1095,01,20251220,1054,?H@12
216,1095,02,20251220,1055,?M@12
217,1096,01,20251220,0245,?c@06
218,1137,01,20251221,1054,?H@06
219,1137,02,20251221,1055,?M@06
220,1138,01,20251221,1128,?X@12
221,1139,01,20251221,0508,@98
222,1140,01,20251221,0300,?\@01
223,1162,01,20251222,1051,@Q@06
224,1163,01,20251222,0245,?c@31
225,1189,01,20251222,1055,?M@48
226,1200,01,20251222,1049,?H@31
227,1203,01,20251222,0248,?r@31
228,1203,02,20251222,1081,?H@31
229,1221,01,20251223,0508,@98
230,1229,01,20251223,1038,?p@31
231,1229,02,20251223,1104,?c@31
232,1230,01,20251223,1048,?H@31
233,1231,01,20251223,0508,@98
234,1233,01,20251223,1073,?C@31
235,1242,01,20251223,1083,?K@48
236,1287,01,20251223,0968,?p@06
237,1296,01,20251223,0248,?r@35
238,1297,01,20251223,1111,$@87
239,1334,01,20251224,1111,$@87
240,1335,01,20251224,0156,?^@12
241,1355,01,20251227,1062,?H@27
242,1399,01,20251228,1129,^@91
243,1395,01,20251228,1109,$@86
244,1396,01,20251228,1094,?s@48
245,1396,02,20251228,0948,n@48
246,1413,01,20251229,0948,n@30
247,1470,01,20251230,0011,?c@16
248,1471,01,20251230,1058,?M@21
249,1471,02,20251230,1064,?K@21
250,1501,01,20251230,1063,?H@12
251,1501,02,20251230,1063,?H@12
252,1502,01,20251230,1055,?M@12
253,1507,01,20251230,0038,?j@12
254,1555,01,20251231,0248,?r@21
255,1556,01,20251231,0156,?^@14
256,1557,01,20251231,1062,?H@35
257,1581,01,20251231,1057,?H@12
258,1581,02,20251231,1058,?M@12
259,1582,01,20251231,0508,@98
260,1584,01,20251231,1110,$@87
261,0021,01,20260102,1061,?M@31
262,0048,01,20260103,1126,?_@91
263,0049,01,20260103,0398,?[@31
264,0049,02,20260103,1090,?c@31
265,0049,03,20260103,1091,pq@31
266,0057,01,20260104,0031,?p@21
267,0065,01,20260104,1050,@Q@41
268,0069,01,20260104,0248,?r@21
269,0088,01,20260105,1090,?c@31
270,0088,02,20260105,1091,pq@31
271,0103,01,20260105,1060,?H@06
272,0103,02,20260105,1080,?K@06
273,0125,01,20260107,1063,?H@06
274,0148,01,20260107,1055,?M@27
275,0169,01,20260108,1060,?H@14
276,0208,01,20260109,1050,@Q@06
277,0208,02,20260109,1060,?H@06
278,0209,01,20260109,0300,?c@01
279,0209,02,20260109,0300,?c@01
280,0232,01,20260109,0911,?f@06
281,0275,01,20260110,1126,?_@91
282,0292,01,20260111,1107,?j@35
283,0299,01,20260111,0023,?c@35
284,0305,01,20260111,1114,?l@12
285,0305,02,20260111,1089,`c@12
286,0349,01,20260112,1110,$@87
287,0349,02,20260112,1110,$@87
288,0352,01,20260112,0156,?^@30
289,0368,01,20260113,0398,?[@14
290,0379,01,20260113,1006,?j@12
291,0382,01,20260113,0248,?r@12
292,0397,01,20260114,1129,n@12
293,0424,01,20260114,1055,?M@27
294,0471,01,20260116,0007,?c@31
295,0478,01,20260116,1082,?H@31
296,0506,01,20260116,0508,@98
297,0507,01,20260116,0508,@98
298,0508,01,20260116,1118,??@12
299,0510,01,20260116,0508,@98
300,0525,01,20260117,1058,?M@41
301,0537,01,20260117,1109,$@86
302,0569,01,20260118,1110,$@87
303,0572,01,20260118,0030,`h@48
304,0572,02,20260118,0016,?c@48
305,0591,01,20260119,1126,?_@91
306,0592,01,20260119,1064,?K@31
307,0618,01,20260120,1126,?_@91
308,0647,01,20260121,1082,?H@06
309,0660,01,20260121,0975,?j@06
310,0713,01,20260122,1055,?M@48
311,0755,01,20260123,1111,$@87
312,0756,01,20260123,1081,?H@48
313,0765,01,20260124,1060,?H@48
314,0773,01,20260124,1082,?H@48
315,0791,01,20260125,0981,?c@17
316,0831,01,20260126,1116,??@12
317,0925,01,20260129,0246,pq@35
318,0013,01,20260201,1060,?H@41
319,0013,02,20260201,1058,?M@41
320,0041,01,20260202,1109,$@86
321,0058,01,20260202,0013,?c@06
322,0058,02,20260202,0947,?p@06
323,0076,01,20260203,0248,?r@21
324,0082,01,20260203,1126,?_@14
325,0092,01,20260203,1064,?K@35
326,0093,01,20260203,1052,?H@12
327,0126,01,20260204,0508,@98
328,0137,01,20260204,1129,^@91
329,0160,01,20260205,0011,?c@14
330,0173,01,20260205,1129,^@91
331,0188,01,20260206,1129,^@91
332,0218,01,20260206,1052,?H@06
333,0225,01,20260206,0508,@98
334,0269,01,20260207,1048,?H@12
335,0269,02,20260207,1051,@Q@12
336,0269,03,20260207,1050,@Q@12
337,0288,01,20260207,1060,?H@31
338,0300,01,20260208,1105,`h@35
339,0339,01,20260209,0156,?^@21
340,0342,01,20260209,0948,n@12
341,0373,01,20260210,1084,?K@21
342,0404,01,20260211,1081,?H@48
343,0468,01,20260212,0911,?f@06
344,0469,01,20260212,0507,$@69
345,0476,01,20260212,1126,?_@91
346,0483,01,20260213,1060,?H@31
347,0505,01,20260213,1109,$@98
348,0550,01,20260214,1109,$@69
349,0577,01,20260214,0944,?c@21
350,0623,01,20260216,1063,?H@06
351,0679,01,20260217,0944,?c@12
352,0683,01,20260217,0011,?c@12
353,0692,01,20260218,1083,?K@48
354,0708,01,20260218,1060,?H@31
355,0712,01,20260218,1126,?o@31
356,0712,02,20260218,1127,?X@31
357,0735,01,20260219,1129,^@91
358,0736,01,20260219,1050,@Q@06
359,0748,01,20260219,1060,?H@48
360,0775,01,20260219,1126,?_@91
361,0793,01,20260220,0012,?c@14
362,0793,02,20260220,0084,?p@14
363,0817,01,20260220,1045,?c@48
364,0855,01,20260221,1111,$@87
365,0858,01,20260221,1126,?_@91
366,0880,01,20260222,1050,@Q@41
367,0881,01,20260222,1060,?H@12
368,0909,01,20260223,1127,?X@31
369,0912,01,20260223,1109,$@69
370,0918,01,20260223,0014,?c@48
371,0918,02,20260223,0975,?j@48
372,0960,01,20260224,1054,?H@35
373,0960,02,20260224,1055,?M@35
