row_index,ticket_code,line_code,channel_code,kind_flag,date_token,worker_code,qty_token,state_flag,service_code,meta_1,meta_2,group_code,price_token_raw
44,0009,03,05,R,20260201,48,2,O,0147,2,2,03,@
45,0010,01,05,R,20260201,55,3,O,0003,1,2,00,2@
46,0010,02,05,R,20260201,55,3,O,0022,1,1,01,@
47,0010,03,05,R,20260201,21,2,O,0043,1,2,03,J@
48,0010,04,05,R,20260201,21,2,O,0077,1,1,06,@o@
49,0010,05,05,R,20260201,21,2,O,0078,1,1,06,9@
50,0010,06,05,R,20260201,21,2,O,0053,1,2,12,@
51,0010,07,05,R,20260201,21,2,O,0007,1,2,02,@V@
52,0010,08,05,R,20260201,21,2,O,0012,1,1,09,?]@
53,0010,09,05,R,20260201,21,2,O,0025,1,1,09,&@
54,0010,10,05,R,20260201,55,3,O,0029,1,1,09,4@
55,0011,01,05,R,20260201,94,9,O,0101,2,2,00,0MAREK
56,0011,02,05,R,20260201,94,9,O,0110,2,2,02,0MAREK
57,0011,03,05,R,20260201,94,9,O,0147,2,2,03,0MAREK
58,0012,01,05,R,20260201,30,2,O,0003,1,2,00,2@
59,0012,02,05,R,20260201,30,2,O,0022,1,1,01,@
60,0012,03,05,R,20260201,30,2,O,0043,1,2,03,J@
61,0012,04,05,R,20260201,30,2,O,0077,1,1,06,@o@
62,0012,05,05,R,20260201,30,2,O,0078,1,1,06,9@
63,0012,06,05,R,20260201,30,2,O,0013,1,1,09,?]@
64,0012,07,05,R,20260201,30,2,O,0029,1,1,09,4@
65,0012,08,05,R,20260201,30,2,O,0026,1,1,09,&@
66,0012,09,05,R,20260201,30,2,O,0053,1,2,12,@
67,0013,01,05,R,20260201,41,2,O,0202,4,4,08,?H@
68,0013,02,05,R,20260201,41,2,O,0202,4,4,08,?M@
69,0014,01,05,R,20260201,55,3,O,0001,1,2,00,5@
70,0014,02,05,R,20260201,55,3,O,0010,1,2,02,?K@
71,0014,03,05,R,20260201,41,2,O,0022,1,1,01,@
72,0014,04,05,R,20260201,41,2,O,0042,1,2,03,?H@
73,0014,05,05,R,20260201,41,2,O,0053,1,2,12,@
74,0015,01,05,R,20260201,55,3,O,0003,1,2,00,2@
75,0015,02,05,R,20260201,55,3,O,0022,1,1,01,@
76,0015,03,05,R,20260201,21,2,O,0042,1,2,03,I@
77,0015,04,05,R,20260201,21,2,O,0076,1,1,06,h@
78,0015,05,05,R,20260201,21,2,O,0078,1,1,06,9@
79,0015,06,05,R,20260201,21,2,O,0053,1,2,12,@
80,0016,01,05,R,20260201,55,3,O,0003,1,2,00,2@
81,0016,02,05,R,20260201,55,3,O,0022,1,1,01,@
82,0016,03,05,R,20260201,41,2,O,0042,1,2,03,I@
83,0016,04,05,R,20260201,41,2,O,0076,1,1,06,h@
84,0016,05,05,R,20260201,55,3,O,0078,1,1,06,9@
85,0016,06,05,R,20260201,41,2,O,0053,1,2,12,@
86,0016,07,05,R,20260201,41,2,O,0007,1,2,02,@V@
87,0017,01,05,R,20260201,55,3,O,0101,2,2,00,2@
88,0017,02,05,R,20260201,21,2,O,0136,2,2,02,J@
89,0017,03,05,R,20260201,21,2,O,0147,2,2,03,"""@"
90,0018,01,05,R,20260201,30,2,O,0007,1,2,02,@V@
91,0018,02,05,R,20260201,30,2,O,0003,1,2,00,2@
92,0018,03,05,R,20260201,30,2,O,0022,1,1,01,@
93,0018,04,05,R,20260201,30,2,O,0042,1,2,03,I@
94,0018,05,05,R,20260201,30,2,O,0076,1,1,06,h@
95,0018,06,05,R,20260201,30,2,O,0078,1,1,06,9@
96,0018,07,05,R,20260201,30,2,O,0053,1,2,12,@
97,0018,08,05,R,20260201,30,2,O,0013,1,1,09,?]@
98,0018,09,05,R,20260201,30,2,O,0029,1,1,09,4@
99,0018,10,05,R,20260201,30,2,O,0026,1,1,09,&@
100,0019,01,05,R,20260201,48,2,O,0101,2,2,00,2@
101,0019,02,05,R,20260201,48,2,O,0136,2,2,02,J@
102,0019,03,05,R,20260201,48,2,O,0147,2,2,03,"""@"
103,0020,01,05,R,20260201,55,3,O,0001,1,2,00,5@
104,0020,02,05,R,20260201,41,2,O,0010,1,2,02,?K@
105,0020,03,05,R,20260201,55,3,O,0022,1,1,01,@
106,0020,04,05,R,20260201,41,2,O,0043,1,2,03,?H@
107,0020,05,05,R,20260201,41,2,O,0053,1,2,12,@
108,0021,01,05,R,20260201,06,2,O,0007,1,2,02,@V@
109,0021,02,05,R,20260201,06,2,O,0003,1,2,00,7@
110,0021,03,05,R,20260201,06,2,O,0022,1,1,01,@
111,0021,04,05,R,20260201,06,2,O,0043,1,2,03,>@
112,0021,05,05,R,20260201,06,2,O,0064,1,1,04,?_@
113,0021,06,05,R,20260201,06,2,O,0065,1,1,04,I@
114,0021,07,05,R,20260201,06,2,O,0077,1,1,06,i@
115,0021,08,05,R,20260201,06,2,O,0078,1,1,06,9@
116,0021,09,05,R,20260201,06,2,O,0083,1,1,06,T@
117,0021,10,05,R,20260201,06,2,O,0084,1,1,06,4@
118,0021,11,05,R,20260201,06,2,O,0040,1,1,01,A@
119,0021,12,05,R,20260201,06,2,O,0019,1,1,01,.@
120,0021,13,05,R,20260201,06,2,O,0053,1,2,12,@
121,0022,01,05,R,20260201,55,3,O,0101,2,2,00,5@
122,0022,02,05,R,20260201,48,2,O,0110,2,2,02,@Q@
123,0022,03,05,R,20260201,48,2,O,0147,2,2,03,"""@"
124,0022,04,05,R,20260201,48,2,O,0150,2,2,12,@
125,0023,01,05,R,20260201,55,3,O,0001,1,2,00,5@
126,0023,02,05,R,20260201,55,3,O,0022,1,1,01,@
127,0023,03,05,R,20260201,48,2,O,0043,1,2,03,?Q@
128,0023,04,05,R,20260201,48,2,O,0053,1,2,12,@
129,0024,01,05,R,20260201,55,3,O,0001,1,2,00,5@
130,0024,02,05,R,20260201,55,3,O,0022,1,1,01,@
131,0024,03,05,R,20260201,41,2,O,0043,1,2,03,?Q@
132,0024,04,05,R,20260201,41,2,O,0053,1,2,12,@
133,0025,01,05,R,20260201,30,2,O,0101,2,2,00,2@
134,0025,02,05,R,20260201,30,2,O,0136,2,2,02,J@
135,0025,03,05,R,20260201,30,2,O,0147,2,2,03,"""@"
136,0026,01,05,R,20260201,30,2,O,0101,2,2,00,2@
137,0026,02,05,R,20260201,30,2,O,0136,2,2,02,J@
138,0026,03,05,R,20260201,30,2,O,0147,2,2,03,"""@"
139,0027,01,05,R,20260201,21,2,O,0003,1,2,00,2@
140,0027,02,05,R,20260201,21,2,O,0022,1,1,01,@
141,0027,03,05,R,20260201,21,2,O,0043,1,2,03,J@
142,0027,04,05,R,20260201,21,2,O,0077,1,1,06,@o@
143,0027,05,05,R,20260201,55,3,O,0078,1,1,06,9@
144,0027,06,05,R,20260201,21,2,O,0053,1,2,12,@
145,0028,01,05,R,20260201,30,2,O,0101,2,2,00,5@
146,0028,02,05,R,20260201,30,2,O,0110,2,2,02,@Q@
147,0028,03,05,R,20260201,30,2,O,0147,2,2,03,"""@"
148,0028,04,05,R,20260201,30,2,O,0185,2,1,06,?R@
149,0028,05,05,R,20260201,30,2,O,0186,2,1,06,.@
150,0028,06,05,R,20260201,30,2,O,0150,2,2,12,@
151,0029,01,05,R,20260201,06,2,O,0001,1,2,00,5@
152,0029,02,05,R,20260201,06,2,O,0022,1,1,01,@
153,0029,03,05,R,20260201,06,2,O,0043,1,2,03,?Q@
154,0029,04,05,R,20260201,06,2,O,0053,1,2,12,@
155,0029,05,05,R,20260201,06,2,O,0033,1,1,01,?]@
156,0029,06,05,R,20260201,06,2,O,0029,1,1,09,4@
157,0029,07,05,R,20260201,06,2,O,0025,1,1,09,&@
158,0030,01,05,R,20260201,55,3,O,0001,1,2,00,5@
159,0030,02,05,R,20260201,21,2,O,0010,1,2,02,?K@
160,0030,03,05,R,20260201,55,3,O,0022,1,1,01,@
161,0030,04,05,R,20260201,21,2,O,0043,1,2,03,?H@
162,0030,05,05,R,20260201,21,2,O,0053,1,2,12,@
163,0031,01,05,R,20260202,55,3,O,0001,1,2,00,5@
164,0031,02,05,R,20260202,55,3,O,0022,1,1,01,@
165,0031,03,05,R,20260202,14,2,O,0042,1,2,03,?Q@
166,0031,04,05,R,20260202,14,2,O,0053,1,2,12,@
167,0032,01,05,R,20260202,24,8,O,0310,3,3,18,T@
168,0032,02,05,R,20260202,24,8,O,0322,3,3,18,?A@
169,0033,01,05,R,20260202,55,3,O,0101,2,2,00,5@
170,0033,02,05,R,20260202,48,2,O,0110,2,2,02,@Q@
171,0033,03,05,R,20260202,48,2,O,0147,2,2,03,"""@"
172,0034,01,05,R,20260202,55,3,O,0001,1,2,00,5@
173,0034,02,05,R,20260202,55,3,O,0022,1,1,01,@
174,0034,03,05,R,20260202,14,2,O,0043,1,2,03,?Q@
175,0034,04,05,R,20260202,14,2,O,0053,1,2,12,@
176,1,0035,01,05,R,20260202,48,2,O,0001,1,2,00
177,1,0035,02,05,R,20260202,48,2,O,0022,1,1,01
178,1,0035,03,05,R,20260202,48,2,O,0043,1,2,03
179,1,0035,04,05,R,20260202,48,2,O,0053,1,2,12
180,0036,01,05,R,20260202,55,3,O,0101,2,2,00,5@
181,0036,02,05,R,20260202,14,2,O,0110,2,2,02,@Q@
182,0036,03,05,R,20260202,14,2,O,0147,2,2,03,"""@"
183,0036,04,05,R,20260202,14,2,O,0150,2,2,12,@
184,0037,01,05,R,20260202,55,3,O,0001,1,2,00,2@
185,0037,02,05,R,20260202,48,2,O,0010,1,2,02,?K@
186,0037,03,05,R,20260202,55,3,O,0022,1,1,01,@
187,0037,04,05,R,20260202,48,2,O,0043,1,2,03,6@
188,0037,05,05,R,20260202,48,2,O,0053,1,2,12,@
189,0038,01,05,R,20260202,24,8,O,0310,3,3,18,T@
190,0039,01,05,R,20260202,55,3,O,0003,1,2,00,7@
191,0039,02,05,R,20260202,55,3,O,0022,1,1,01,@
192,0039,03,05,R,20260202,31,2,O,0043,1,2,03,J@
193,0039,04,05,R,20260202,31,2,O,0064,1,1,04,b@
194,0039,05,05,R,20260202,31,2,O,0065,1,1,04,>@
195,0039,06,05,R,20260202,31,2,O,0077,1,1,06,?g@
196,0039,07,05,R,20260202,31,2,O,0078,1,1,06,4@
197,0039,08,05,R,20260202,31,2,O,0053,1,2,12,@
198,0039,09,05,R,20260202,31,2,O,0007,1,2,02,?[@
199,0040,01,05,R,20260202,48,2,O,0001,1,2,00,2@
200,0040,02,05,R,20260202,48,2,O,0010,1,2,02,?K@
201,0040,03,05,R,20260202,48,2,O,0022,1,1,01,@
202,0040,04,05,R,20260202,48,2,O,0043,1,2,03,6@
203,0040,05,05,R,20260202,48,2,O,0053,1,2,12,@
204,0041,01,05,R,20260202,86,7,O,0204,4,4,08,$@
205,0042,01,05,R,20260202,06,2,O,0001,1,2,00,5@
206,0042,02,05,R,20260202,06,2,O,0022,1,1,01,@
207,0042,03,05,R,20260202,06,2,O,0043,1,2,03,?Q@
208,0042,04,05,R,20260202,06,2,O,0053,1,2,12,@
209,0043,01,05,R,20260202,55,3,O,0001,1,2,00,2@
210,0043,02,05,R,20260202,14,2,O,0010,1,2,02,?K@
211,0043,03,05,R,20260202,55,3,O,0022,1,1,01,@
212,0043,04,05,R,20260202,14,2,O,0043,1,2,03,6@
213,0043,05,05,R,20260202,14,2,O,0053,1,2,12,@
214,0044,01,05,R,20260202,55,3,O,0101,2,2,00,5@
215,0044,02,05,R,20260202,14,2,O,0110,2,2,02,@Q@
216,0044,03,05,R,20260202,14,2,O,0147,2,2,03,"""@"
217,0044,04,05,R,20260202,14,2,O,0150,2,2,12,@
218,0045,01,05,R,20260202,55,3,O,0003,1,2,00,2@
219,0045,02,05,R,20260202,55,3,O,0022,1,1,01,@
220,0045,03,05,R,20260202,31,2,O,0042,1,2,03,I@
221,0045,04,05,R,20260202,31,2,O,0076,1,1,06,h@
222,0045,05,05,R,20260202,55,3,O,0078,1,1,06,9@
223,0045,06,05,R,20260202,31,2,O,0053,1,2,12,@
224,0045,07,05,R,20260202,31,2,O,0007,1,2,02,?[@
225,0046,01,05,R,20260202,24,8,O,0301,3,3,16,?A@
226,0047,01,05,R,20260202,08,3,O,0001,1,2,00,5@
227,0047,02,05,R,20260202,21,2,O,0010,1,2,02,?K@
228,0047,03,05,R,20260202,08,3,O,0022,1,1,01,@
229,0047,04,05,R,20260202,21,2,O,0041,1,2,03,?H@
230,0047,05,05,R,20260202,21,2,O,0053,1,2,12,@
231,0048,01,05,R,20260202,06,2,O,0001,1,2,00,5@
232,0048,02,05,R,20260202,06,2,O,0022,1,1,01,@
233,0048,03,05,R,20260202,06,2,O,0043,1,2,03,?Q@
234,0048,04,05,R,20260202,06,2,O,0053,1,2,12,@
235,0049,01,05,R,20260202,08,3,O,0003,1,2,00,2@
236,0049,02,05,R,20260202,08,3,O,0022,1,1,01,@
237,0049,03,05,R,20260202,12,2,O,0043,1,2,03,J@
238,0049,04,05,R,20260202,12,2,O,0077,1,1,06,@o@
239,0049,05,05,R,20260202,08,3,O,0078,1,1,06,9@
240,0049,06,05,R,20260202,12,2,O,0053,1,2,12,@
241,0049,07,05,R,20260202,12,2,O,0007,1,2,02,@V@
242,0050,01,05,R,20260202,48,2,O,0001,1,2,00,5@
243,0050,02,05,R,20260202,48,2,O,0035,1,2,02,?K@
244,0050,03,05,R,20260202,48,2,O,0022,1,1,01,@
245,0050,04,05,R,20260202,48,2,O,0041,1,2,03,3@
246,0050,05,05,R,20260202,48,2,O,0053,1,2,12,@
247,0051,01,05,R,20260202,21,2,O,0001,1,2,00,5@
248,0051,02,05,R,20260202,21,2,O,0010,1,2,02,?K@
249,0051,03,05,R,20260202,21,2,O,0022,1,1,01,@
250,0051,04,05,R,20260202,21,2,O,0042,1,2,03,?H@
251,0051,05,05,R,20260202,21,2,O,0053,1,2,12,@
252,0052,01,05,R,20260202,31,2,O,0001,1,2,00,5@
253,0052,02,05,R,20260202,31,2,O,0022,1,1,01,@
254,0052,03,05,R,20260202,31,2,O,0043,1,2,03,?Q@
255,0052,04,05,R,20260202,31,2,O,0053,1,2,12,@
256,0053,01,05,R,20260202,12,2,O,0101,2,2,00,2@
257,0053,02,05,R,20260202,12,2,O,0136,2,2,02,J@
258,0053,03,05,R,20260202,12,2,O,0147,2,2,03,"""@"
259,0054,01,05,R,20260202,08,3,O,0003,1,2,00,2@
260,0054,02,05,R,20260202,08,3,O,0022,1,1,01,@
261,0054,03,05,R,20260202,31,2,O,0042,1,2,03,I@
262,0054,04,05,R,20260202,31,2,O,0076,1,1,06,h@
263,0054,05,05,R,20260202,31,2,O,0078,1,1,06,9@
264,0054,06,05,R,20260202,31,2,O,0053,1,2,12,@
265,0054,07,05,R,20260202,31,2,O,0007,1,2,02,?[@
266,0055,01,05,R,20260202,31,2,O,0001,1,2,00,5@
267,0055,02,05,R,20260202,31,2,O,0022,1,1,01,@
268,0055,03,05,R,20260202,31,2,O,0010,1,2,02,@P@
269,0055,04,05,R,20260202,31,2,O,0043,1,2,03,M@
270,0055,05,05,R,20260202,31,2,O,0053,1,2,12,@
271,0056,01,05,R,20260202,08,3,O,0001,1,2,00,5@
272,0056,02,05,R,20260202,12,2,O,0010,1,2,02,?K@
273,0056,03,05,R,20260202,08,3,O,0022,1,1,01,@
274,0056,04,05,R,20260202,12,2,O,0042,1,2,03,?H@
275,0056,05,05,R,20260202,12,2,O,0053,1,2,12,@
276,0057,01,05,R,20260202,06,2,O,0001,1,2,00,5@
277,0057,02,05,R,20260202,06,2,O,0035,1,2,02,?K@
278,0057,03,05,R,20260202,06,2,O,0022,1,1,01,@
279,0057,04,05,R,20260202,06,2,O,0041,1,2,03,3@
280,0058,01,05,R,20260202,06,2,O,0200,4,4,08,?c@
281,0058,02,05,R,20260202,06,2,O,0200,4,4,08,?p@
282,0059,01,05,R,20260202,08,3,O,0101,2,2,00,5@
283,0059,02,05,R,20260202,21,2,O,0110,2,2,02,@Q@
284,0059,03,05,R,20260202,21,2,O,0147,2,2,03,"""@"
285,0060,01,05,R,20260202,48,2,O,0001,1,2,00,5@
286,0060,02,05,R,20260202,48,2,O,0010,1,2,02,?K@
287,0060,03,05,R,20260202,48,2,O,0022,1,1,01,@
288,0060,04,05,R,20260202,48,2,O,0043,1,2,03,?H@
289,0060,05,05,R,20260202,48,2,O,0053,1,2,12,@
290,0060,06,05,R,20260202,48,2,O,0029,1,1,09,4@
291,0060,07,05,R,20260202,48,2,O,0034,1,1,01,&@
292,0060,08,05,R,20260202,48,2,O,0012,1,1,09,?]@
293,0061,01,05,R,20260202,21,2,O,0003,1,2,00,2@
294,0061,02,05,R,20260202,21,2,O,0022,1,1,01,@
295,0061,03,05,R,20260202,21,2,O,0043,1,2,03,J@
296,0061,04,05,R,20260202,21,2,O,0077,1,1,06,@o@
297,0061,05,05,R,20260202,21,2,O,0078,1,1,06,9@
298,0061,06,05,R,20260202,21,2,O,0053,1,2,12,@
299,0062,01,05,R,20260202,48,2,O,0001,1,2,00,5@
300,0062,02,05,R,20260202,48,2,O,0022,1,1,01,@
301,0062,03,05,R,20260202,48,2,O,0043,1,2,03,?Q@
302,0062,04,05,R,20260202,48,2,O,0053,1,2,12,@
303,0062,05,05,R,20260202,48,2,O,0020,1,1,01,?E@
304,0062,06,05,R,20260202,48,2,O,0019,1,1,01,.@
305,0062,07,05,R,20260202,48,2,O,0012,1,1,09,?V@
306,0062,08,05,R,20260202,48,2,O,0024,1,1,09,&@
307,0062,09,05,R,20260202,48,2,O,0029,1,1,09,4@
308,0063,01,05,R,20260202,08,3,O,0101,2,2,00,5@
309,0063,02,05,R,20260202,12,2,O,0110,2,2,02,@Q@
310,0063,03,05,R,20260202,12,2,O,0147,2,2,03,"""@"
311,0064,01,05,R,20260202,08,3,O,0001,1,2,00,5@
312,0064,02,05,R,20260202,48,2,O,0022,1,1,01,@
313,0064,03,05,R,20260202,48,2,O,0043,1,2,03,?Q@
314,0064,04,05,R,20260202,48,2,O,0053,1,2,12,@
315,0065,01,05,R,20260202,31,2,O,0001,1,2,00,5@
316,0065,02,05,R,20260202,31,2,O,0022,1,1,01,@
317,0065,03,05,R,20260202,31,2,O,0010,1,2,02,@P@
318,0065,04,05,R,20260202,31,2,O,0043,1,2,03,M@
319,0065,05,05,R,20260202,31,2,O,0053,1,2,12,@
320,0065,06,05,R,20260202,31,2,O,0029,1,1,09,4@
321,0065,07,05,R,20260202,31,2,O,0013,1,1,09,?]@
322,0065,08,05,R,20260202,31,2,O,0034,1,1,01,&@
323,0066,01,05,R,20260202,08,3,O,0001,1,2,00,5@
324,0066,02,05,R,20260202,21,2,O,0010,1,2,02,?K@
325,0066,03,05,R,20260202,08,3,O,0022,1,1,01,@
326,0066,04,05,R,20260202,21,2,O,0042,1,2,03,?H@
327,0066,05,05,R,20260202,21,2,O,0053,1,2,12,@
328,0067,01,05,R,20260202,21,2,O,0101,2,2,00,5@
329,0067,02,05,R,20260202,21,2,O,0110,2,2,02,@Q@
330,0067,03,05,R,20260202,21,2,O,0147,2,2,03,"""@"
331,0067,04,05,R,20260202,21,2,O,0150,2,2,12,@
332,0068,01,05,R,20260202,08,3,O,0001,1,2,00,5@
333,0068,02,05,R,20260202,08,3,O,0022,1,1,01,@
334,0068,03,05,R,20260202,31,2,O,0010,1,2,02,@P@
335,0068,04,05,R,20260202,31,2,O,0043,1,2,03,M@
336,0068,05,05,R,20260202,31,2,O,0053,1,2,12,@
337,0068,06,05,R,20260202,31,2,O,0033,1,1,01,?]@
338,0068,07,05,R,20260202,08,3,O,0029,1,1,09,4@
339,0068,08,05,R,20260202,31,2,O,0034,1,1,01,&@
340,0069,01,05,R,20260202,08,3,O,0003,1,2,00,7@
341,0069,02,05,R,20260202,08,3,O,0022,1,1,01,@
342,0069,03,05,R,20260202,12,2,O,0043,1,2,03,J@
343,0069,04,05,R,20260202,12,2,O,0083,1,1,06,?k@
344,0069,05,05,R,20260202,12,2,O,0084,1,1,06,4@
345,0069,06,05,R,20260202,12,2,O,0007,1,2,02,@V@
346,0069,07,05,R,20260202,12,2,O,0053,1,2,12,@
347,0069,08,05,R,20260202,12,2,O,0020,1,1,01,?E@
348,0069,09,05,R,20260202,08,3,O,0019,1,1,01,.@
349,0069,10,05,R,20260202,12,2,O,0012,1,1,09,?V@
350,0069,11,05,R,20260202,12,2,O,0024,1,1,09,&@
351,0069,12,05,R,20260202,08,3,O,0029,1,1,09,4@
352,0069,13,05,R,20260202,12,3,O,0029,1,1,09,D@
353,0070,01,05,R,20260202,08,3,O,0001,1,2,00,5@
354,0070,02,05,R,20260202,08,3,O,0022,1,1,01,@
355,0070,03,05,R,20260202,31,2,O,0042,1,2,03,?Q@
356,0070,04,05,R,20260202,31,2,O,0053,1,2,12,@
357,0071,01,05,R,20260203,55,3,O,0001,1,2,00,5@
358,0071,02,05,R,20260203,55,3,O,0022,1,1,01,@
359,0071,03,05,R,20260203,21,2,O,0042,1,2,03,?Q@
360,0071,04,05,R,20260203,21,2,O,0053,1,2,12,@
361,0072,01,05,R,20260203,55,3,O,0002,1,2,00,9@
362,0072,02,05,R,20260203,14,2,O,0031,1,1,01,_@
363,0072,03,05,R,20260203,55,3,O,0001,1,2,00,5@
364,0072,04,05,R,20260203,55,3,O,0022,1,1,01,@
365,0072,05,05,R,20260203,14,2,O,0043,1,2,03,?Q@
366,0072,06,05,R,20260203,14,2,O,0053,1,2,12,@
367,0073,01,05,R,20260203,55,3,O,0001,1,2,00,5@
368,0073,02,05,R,20260203,55,3,O,0022,1,1,01,@
369,0073,03,05,R,20260203,14,2,O,0043,1,2,03,?Q@
370,0073,04,05,R,20260203,14,2,O,0053,1,2,12,@
371,1,0074,01,05,R,20260203,55,3,O,0001,1,2,00
372,1,0074,02,05,R,20260203,55,3,O,0022,1,1,01
373,1,0074,03,05,R,20260203,30,2,O,0043,1,2,03
374,1,0074,04,05,R,20260203,30,2,O,0053,1,2,12
375,0075,01,05,R,20260203,55,3,O,0001,1,2,00,2@
376,0075,02,05,R,20260203,30,2,O,0010,1,2,02,?K@
377,0075,03,05,R,20260203,55,3,O,0022,1,1,01,@
378,0075,04,05,R,20260203,30,2,O,0043,1,2,03,6@
379,0076,01,05,R,20260203,21,2,O,0200,4,4,08,?r@
380,0077,01,05,R,20260203,21,2,O,0003,1,2,00,2@
381,0077,02,05,R,20260203,21,2,O,0022,1,1,01,@
382,0077,03,05,R,20260203,21,2,O,0043,1,2,03,J@
383,0077,04,05,R,20260203,21,2,O,0077,1,1,06,@o@
384,0077,05,05,R,20260203,21,2,O,0078,1,1,06,9@
385,0077,06,05,R,20260203,21,2,O,0053,1,2,12,@
386,0077,07,05,R,20260203,21,2,O,0007,1,2,02,@V@
387,0078,01,05,R,20260203,21,2,O,0012,1,1,09,?]@
388,0078,02,05,R,20260203,21,2,O,0029,1,1,09,4@
389,0078,03,05,R,20260203,21,2,O,0025,1,1,09,&@
390,0079,01,05,R,20260203,21,2,O,0007,1,2,02,@V@
391,0079,02,05,R,20260203,21,2,O,0003,1,2,00,7@
392,0079,03,05,R,20260203,21,2,O,0022,1,1,01,@
393,0079,04,05,R,20260203,21,2,O,0043,1,2,03,J@
394,0079,05,05,R,20260203,21,2,O,0064,1,1,04,b@
395,0079,06,05,R,20260203,21,2,O,0065,1,1,04,>@
396,0079,07,05,R,20260203,21,2,O,0077,1,1,06,c@
397,0079,08,05,R,20260203,21,2,O,0078,1,1,06,4@
398,0079,09,05,R,20260203,21,2,O,0053,1,2,12,@
399,0079,10,05,R,20260203,21,2,O,0053,1,2,12,?C@
400,0080,01,05,R,20260203,55,3,O,0101,2,2,00,5@
401,0080,02,05,R,20260203,30,2,O,0110,2,2,02,@Q@
402,0080,03,05,R,20260203,30,2,O,0147,2,2,03,"""@"
403,0080,04,05,R,20260203,55,3,O,0150,2,2,12,@
404,0081,01,05,R,20260203,55,3,O,0500,1,2,00,.@
405,0081,02,05,R,20260203,14,2,O,0010,1,2,02,N@
406,0081,03,05,R,20260203,14,2,O,0561,1,2,03,>@
407,0081,04,05,R,20260203,14,2,O,0555,1,1,07,Y@
408,0081,05,05,R,20260203,14,2,O,0552,1,1,07,?{@
409,0082,01,05,R,20260203,91,2,O,0213,4,4,08,?_@
410,1,0083,01,05,R,20260203,55,3,O,0101,2,2,00
411,1,0083,02,05,R,20260203,21,2,O,0110,2,2,02
412,1,0083,03,05,R,20260203,21,2,O,0147,2,2,03
413,1,0083,04,05,R,20260203,21,2,O,0150,2,2,12
414,0084,01,05,R,20260203,55,3,O,0101,2,2,00,2@
415,0084,02,05,R,20260203,21,2,O,0136,2,2,02,J@
416,0084,03,05,R,20260203,21,2,O,0147,2,2,03,"""@"
417,0084,04,05,R,20260203,21,2,O,0150,2,2,12,@
